Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Insertion,1000,Casi_Ordenado,3,0.0580,32883,33882,SI
Merge,1000,Casi_Ordenado,3,0.0780,7591,19952,SI
Radix,1000,Casi_Ordenado,3,0.0260,NA,6000,SI
Timsort,1000,Casi_Ordenado,3,0.0280,6872,13340,SI
Insertion,1000,Duplicados,1,0.1970,207666,208666,SI
Merge,1000,Duplicados,1,0.0870,8252,19952,SI
Radix,1000,Duplicados,1,0.0080,NA,2000,SI
Timsort,1000,Duplicados,1,0.0400,11578,18042,SI
Insertion,1000,Duplicados,2,0.1810,196180,197180,SI
Merge,1000,Duplicados,2,0.0840,8145,19952,SI
Radix,1000,Duplicados,2,0.0080,NA,2000,SI
Timsort,1000,Duplicados,2,0.0410,11715,18248,SI
Insertion,1000,Duplicados,3,0.2030,199014,200015,SI
Merge,1000,Duplicados,3,0.1270,8198,19952,SI
Radix,1000,Duplicados,3,0.0090,NA,2000,SI
Timsort,1000,Duplicados,3,0.0490,11720,18231,SI
Insertion,2500,Uniforme,1,3.0470,1522858,1525363,SI
Merge,2500,Uniforme,1,0.5830,25131,56808,SI
Radix,2500,Uniforme,1,0.1040,NA,25000,SI
Timsort,2500,Uniforme,1,0.3040,38359,57763,SI
Insertion,2500,Uniforme,2,1.8010,1591431,1593936,SI
Merge,2500,Uniforme,2,0.3660,25111,56808,SI
Radix,2500,Uniforme,2,0.0820,NA,25000,SI
Timsort,2500,Uniforme,2,0.2070,38329,57726,SI
Insertion,2500,Uniforme,3,1.6290,1569494,1571998,SI
Merge,2500,Uniforme,3,0.3940,25113,56808,SI
Radix,2500,Uniforme,3,0.0980,NA,25000,SI
Timsort,2500,Uniforme,3,0.2280,38084,57487,SI
Insertion,2500,Ordenado,1,0.0080,2499,4998,SI
Merge,2500,Ordenado,1,0.1490,14752,56808,SI
Radix,2500,Ordenado,1,0.0870,NA,20000,SI
Timsort,2500,Ordenado,1,0.0300,11605,38026,SI
Insertion,2500,Ordenado,2,0.0060,2499,4998,SI
Merge,2500,Ordenado,2,0.1750,14752,56808,SI
Radix,2500,Ordenado,2,0.1240,NA,20000,SI
Timsort,2500,Ordenado,2,0.0320,11605,38026,SI
Insertion,2500,Ordenado,3,0.0060,2499,4998,SI
Merge,2500,Ordenado,3,0.2130,14752,56808,SI
Radix,2500,Ordenado,3,0.1290,NA,20000,SI
Timsort,2500,Ordenado,3,0.0470,11605,38026,SI
Insertion,2500,Reverso,1,4.6240,3123750,3128748,SI
Merge,2500,Reverso,1,0.1790,13652,56808,SI
Radix,2500,Reverso,1,0.1020,NA,20000,SI
Timsort,2500,Reverso,1,0.0960,46102,76720,SI
Insertion,2500,Reverso,2,5.1940,3123750,3128748,SI
Merge,2500,Reverso,2,0.2630,13652,56808,SI
Radix,2500,Reverso,2,0.1100,NA,20000,SI
Timsort,2500,Reverso,2,0.0910,46102,76720,SI
Insertion,2500,Reverso,3,4.4350,3123750,3128748,SI
Merge,2500,Reverso,3,0.1890,13652,56808,SI
Radix,2500,Reverso,3,0.1340,NA,20000,SI
Timsort,2500,Reverso,3,0.1320,46102,76720,SI
Insertion,2500,Casi_Ordenado,1,0.3900,200982,203481,SI
Merge,2500,Casi_Ordenado,1,0.3100,22756,56808,SI
Radix,2500,Casi_Ordenado,1,0.1030,NA,20000,SI
Timsort,2500,Casi_Ordenado,1,0.1020,21687,41684,SI
Insertion,2500,Casi_Ordenado,2,0.4080,216810,219309,SI
Merge,2500,Casi_Ordenado,2,0.3140,22855,56808,SI
Radix,2500,Casi_Ordenado,2,0.1380,NA,20000,SI
Timsort,2500,Casi_Ordenado,2,0.0990,21435,41397,SI
Insertion,2500,Casi_Ordenado,3,0.3780,186972,189471,SI
Merge,2500,Casi_Ordenado,3,0.2490,23217,56808,SI
Radix,2500,Casi_Ordenado,3,0.1660,NA,20000,SI
Timsort,2500,Casi_Ordenado,3,0.1060,21727,41355,SI
Insertion,2500,Duplicados,1,2.6680,1297766,1300266,SI
Merge,2500,Duplicados,1,0.4260,23590,56808,SI
Radix,2500,Duplicados,1,0.0320,NA,5000,SI
Timsort,2500,Duplicados,1,0.1410,32818,53453,SI
Insertion,2500,Duplicados,2,1.2120,1252945,1255444,SI
Merge,2500,Duplicados,2,0.3210,23528,56808,SI
Radix,2500,Duplicados,2,0.0200,NA,5000,SI
Timsort,2500,Duplicados,2,0.0980,31939,52564,SI
Insertion,2500,Duplicados,3,1.3200,1251348,1253848,SI
Merge,2500,Duplicados,3,0.2200,23547,56808,SI
Radix,2500,Duplicados,3,0.0200,NA,5000,SI
Timsort,2500,Duplicados,3,0.1010,32783,53427,SI
Insertion,5000,Uniforme,1,6.1270,6243170,6248176,SI
Merge,5000,Uniforme,1,1.5640,55219,123616,SI
Radix,5000,Uniforme,1,0.3100,NA,50000,SI
Timsort,5000,Uniforme,1,0.6230,80857,124709,SI
Insertion,5000,Uniforme,2,7.4660,6290870,6295877,SI
